file,code,offset,before_after_hex
kigyo.dat,1010,3049749,01 00 00 AB 00 00 00 4F 00 00 00 8C C3 F5 28 8C 41 00 00 00 00 00 00 06 31 30 31 30 32 36 00 00 00 00 00 00 00 00 00 00 00 00 04 31 31 30 33 00 00 00 EF 0D
kigyo.dat,3032,2207053,00 00 1E 05 00 00 BE 02 00 00 87 B8 1E 85 6B 34 00 00 00 00 00 00 06 31 33 30 33 32 39 00 00 00 00 00 00 00 00 00 00 00 00 04 31 33 30 35 00 00 00 9D 2E 00
kigyo3.dat,1308,89522,0B 00 00 D4 0A 00 00 E3 04 00 00 85 8F C2 F5 28 1C 00 00 00 00 00 00 06 31 33 30 38 30 38 00 00 00 00 00 00 00 00 00 00 00 00 04 31 38 31 32 00 00 00 27 4F
kigyo3.dat,1308,102062,07 00 00 76 07 00 00 36 04 00 00 8D C3 F5 28 C0 66 00 00 00 00 00 00 06 31 33 30 38 30 39 00 00 00 00 00 00 00 00 00 00 00 00 04 31 38 30 33 00 00 00 00 00
kigyo3.dat,1308,103327,4D 00 00 15 49 00 00 04 2B 00 00 86 AE 47 E1 7A 5B 00 00 00 00 00 00 06 31 33 30 38 30 32 00 00 00 00 00 00 00 00 00 00 00 00 04 31 38 30 33 00 00 00 80 3C
kigyo3.dat,1308,148592,13 00 00 8D 14 00 00 C1 0B 00 00 88 CD CC CC 4C 17 00 00 00 00 00 00 06 31 33 30 38 30 37 00 00 00 00 00 00 00 00 00 00 00 00 04 31 38 31 32 00 00 00 5B 49
kigyo3.dat,1308,313702,FE FF FF D2 FD FF FF B4 FD FF FF 86 E1 7A 14 AE D7 00 00 00 00 00 00 06 31 33 30 38 30 39 00 00 00 00 00 00 00 00 00 00 00 00 04 31 39 30 39 00 00 00 86 0E
kigyo3.dat,1308,441651,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 31 33 30 38 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
kigyo3.dat,1308,582597,04 00 00 5E 04 00 00 53 02 00 00 86 F6 28 5C 8F 3A 00 00 00 00 00 00 06 31 33 30 38 30 36 00 00 00 00 00 00 00 00 00 00 00 00 04 2D 36 8C 8E 00 00 00 60 5B
kigyo3.dat,1308,588042,FF FF FF C9 FF FF FF C2 FF FF FF 83 E1 7A 14 AE C7 00 00 00 00 00 00 06 31 33 30 38 31 32 00 00 00 00 00 00 00 00 00 00 00 00 04 31 36 30 33 00 00 00 CF 66
kigyo3.dat,1308,594147,FF FF FF C0 FF FF FF C3 FF FF FF 82 5C 8F C2 F5 F8 00 00 00 00 00 00 06 31 33 30 38 30 39 00 00 00 00 00 00 00 00 00 00 00 00 04 31 34 30 33 00 00 00 61 4F
kigyo3.dat,1308,640897,05 00 00 5E 05 00 00 C2 04 00 00 86 33 33 33 33 5D 00 00 00 00 00 00 06 31 33 30 38 30 35 00 00 00 00 00 00 00 00 00 00 00 00 04 31 37 30 33 00 00 00 C7 8F
kigyo3.dat,1308,662622,03 00 00 94 01 00 00 11 02 00 00 84 8F C2 F5 28 40 00 00 00 00 00 00 06 31 33 30 38 30 39 00 00 00 00 00 00 00 00 00 00 00 00 04 30 35 30 33 00 04 00 68 8F
kigyo3.dat,1308,714927,09 00 00 CA 09 00 00 B3 04 00 00 86 F6 28 5C 8F 56 00 00 00 00 00 00 06 31 33 30 38 30 32 00 00 00 00 00 00 00 00 00 00 00 00 04 31 38 30 33 00 00 00 EC 45
kigyo3.dat,1308,722737,00 00 00 29 00 00 00 2F 00 00 00 83 E1 7A 14 AE 47 00 00 00 00 00 00 06 31 33 30 38 30 39 00 00 00 00 00 00 00 00 00 00 00 00 04 31 36 30 39 00 00 00 61 1A
