file,offset,length,encoding,text,context_hex
kigyo.dat,2747,4,cp932,2503,00 00 00 00 00 00 00 04 32 35 30 33 00 00 00 00 00 00 00 00
kigyo.dat,2802,4,cp932,2603,00 00 00 00 00 00 00 04 32 36 30 33 00 00 00 00 00 00 00 00
kigyo.dat,2857,4,cp932,2603,00 00 00 00 00 00 00 00 32 36 30 33 00 01 00 00 00 00 00 00
kigyo.dat,2912,4,cp932,2203,00 00 00 00 00 00 00 04 32 32 30 33 00 00 00 00 00 00 00 F8
kigyo.dat,2967,4,cp932,2303,00 00 00 00 00 00 00 04 32 33 30 33 00 00 00 00 00 00 00 A9
kigyo.dat,3022,4,cp932,2403,00 00 00 00 00 00 00 04 32 34 30 33 00 00 00 E4 FD 03 00 66
kigyo.dat,3077,4,cp932,2503,00 00 00 00 00 00 00 04 32 35 30 33 00 00 00 59 9E 04 00 47
kigyo.dat,3132,4,cp932,2603,00 00 00 00 00 00 00 04 32 36 30 33 00 00 00 10 09 05 00 5C
kigyo.dat,3168,6,cp932,260206,00 00 00 00 00 00 00 06 32 36 30 32 30 36 00 00 00 00 00 00 00 00
kigyo.dat,3241,51,cp932,2水産品の貿易、加工、買い付け主力。すしネタに強み。,00 00 00 00 00 00 00 00 32 90 85 8E 59 95 69 82 CC 96 66 88 D5 81 41 89 C1 8D 48 81 41 94 83 82 A2 95 74 82 AF 8E E5 97 CD 81 42 82 B7 82 B5 83 6C 83 5E 82 C9 8B AD 82 DD 81 42 19 05 02 C9 97 97 6D 81
kigyo.dat,3295,11,cp932,ﾉ覧m　　　@,AD 82 DD 81 42 19 05 02 C9 97 97 6D 81 40 81 40 81 40 40 81 00 00 00 00 00 00 20
kigyo.dat,3350,6,cp932,070201,44 05 00 00 00 00 00 06 30 37 30 32 30 31 88 00 00 00 00 11 00 00
kigyo.dat,3405,4,cp932,1103,1B 00 00 00 00 00 00 04 31 31 30 33 00 00 00 29 42 02 00 20
kigyo.dat,3460,4,cp932,1203,00 00 00 00 00 00 00 04 31 32 30 33 00 00 00 69 87 02 00 11
kigyo.dat,3483,6,cp932,οﾌﾌﾌL,59 07 00 00 A0 02 00 00 83 CD CC CC CC 4C 83 00 00 00 00 20 00 00
kigyo.dat,3515,4,cp932,1303,00 00 00 00 00 00 00 04 31 33 30 33 00 00 00 62 73 02 00 DE
kigyo.dat,3539,5,cp932,)\渉u,05 00 00 26 03 00 00 83 29 5C 8F C2 75 83 00 00 00 00 20 00 00
kigyo.dat,3570,4,cp932,1403,00 00 00 00 00 00 00 04 31 34 30 33 00 00 00 1A EE 02 00 A7
kigyo.dat,3625,4,cp932,1503,00 00 00 00 00 00 00 04 31 35 30 33 00 00 00 00 00 00 00 00
kigyo.dat,3680,4,cp932,1503,00 00 00 00 00 00 00 04 31 35 30 33 00 01 00 00 00 00 00 00
kigyo.dat,3735,4,cp932,1103,00 00 00 00 00 00 00 04 31 31 30 33 00 00 00 AB 7B 02 00 34
