line_no,code,text,encoding
115,1805,"1805,飛島建設,1,0,0,0,飛島建設,3,1,3,0,1805",cp932
116,1808,"1808,長谷工コーポ,1,0,1,1,長谷工コーポレーション,3,0,3,1,1808",cp932
117,1812,"1812,鹿島建設,1,0,1,1,鹿島建設,3,0,3,1,1812",cp932
118,1813,"1813,不動テトラ,1,0,0,1,不動テトラ,3,0,3,0,1813",cp932
119,1814,"1814,大末建設,1,0,0,1,大末建設,3,0,3,0,1814",cp932
120,1815,"1815,鉄建建設,1,0,0,1,鉄建建設,3,0,3,0,1815",cp932
121,1820,"1820,西松建設,1,0,0,1,西松建設,3,0,3,1,1820",cp932
122,1821,"1821,三井住友建設,1,0,0,1,三井住友建設,3,0,3,1,1821",cp932
123,1833,"1833,奥村組,1,1,0,1,奥村組,3,0,3,0,1833",cp932
124,1835,"1835,東鉄工業,1,0,0,1,東鉄工業,3,0,3,0,1835",cp932
125,1852,"1852,淺沼組,1,1,0,1,淺沼組,3,0,3,0,1852",cp932
126,1860,"1860,戸田建設,1,0,0,1,戸田建設,3,0,3,1,1860",cp932
127,1861,"1861,熊谷組,1,1,0,1,熊谷組,3,0,3,1,1861",cp932
128,1870,"1870,矢作建設工業,1,0,0,1,矢作建設工業,3,0,3,0,1870",cp932
129,1871,"1871,ピーエス・コ,1,0,0,1,ピーエス・コンストラクション,3,0,3,0,1871",cp932
130,1873,"1873,日本ハウスホ,1,0,0,1,日本ハウスホールディングス,3,0,3,0,1873",cp932
131,1878,"1878,大東建託,1,1,0,1,大東建託,26,0,26,1,1878",cp932
132,1879,"1879,新日本建設,1,0,0,1,新日本建設,3,0,3,0,1879",cp932
133,1882,"1882,東亜道路工業,1,0,0,1,東亜道路工業,3,0,3,0,1882",cp932
134,1884,"1884,日本道路,1,0,0,1,日本道路,3,0,3,0,1884",cp932
135,1885,"1885,東亜建設工業,1,0,0,1,東亜建設工業,3,0,3,0,1885",cp932
136,1887,"1887,日本国土開発,1,0,0,1,日本国土開発,3,0,3,0,1887",cp932
137,1888,"1888,若築建設,1,0,0,1,若築建設,3,0,3,0,1888",cp932
138,1890,"1890,東洋建設,1,0,0,1,東洋建設,3,0,3,0,1890",cp932
139,1893,"1893,五洋建設,1,0,0,1,五洋建設,3,0,3,1,1893",cp932
140,1898,"1898,世紀東急工業,1,0,0,1,世紀東急工業,3,0,3,0,1898",cp932
141,1899,"1899,福田組,1,1,0,1,福田組,3,0,3,0,1899",cp932
142,1911,"1911,住友林業,1,0,0,1,住友林業,3,0,3,1,1911",cp932
143,1925,"1925,大和ハウス工,1,0,1,1,大和ハウス工業,3,0,3,1,1925",cp932
144,1926,"1926,ライト工業,1,0,0,1,ライト工業,3,0,3,0,1926",cp932
145,1928,"1928,積水ハウス,1,0,1,1,積水ハウス,3,0,3,1,1928",cp932
146,1929,"1929,日特建設,1,0,0,1,日特建設,3,0,3,0,1929",cp932
147,1930,"1930,北陸電気工事,1,1,0,1,北陸電気工事,3,0,3,0,1930",cp932
148,1934,"1934,ユアテック,1,0,0,1,ユアテック,3,0,3,0,1934",cp932
149,1938,"1938,日本リーテッ,1,0,0,1,日本リーテック,3,0,3,0,1938",cp932
150,1939,"1939,四電工,1,0,0,1,四電工,3,0,3,0,1939",cp932
151,1941,"1941,中電工,1,0,0,1,中電工,3,0,3,0,1941",cp932
